input	translation
GSU0601	hydrolase activity
GSU0602	aminopeptidase activity
GSU0602	metallopeptidase activity
GSU0604	"4 iron, 4 sulfur cluster binding"
GSU0604	carbon-carbon lyase activity
GSU0604	zinc ion binding
GSU0605	ATP binding
GSU0605	hydroxymethylpyrimidine kinase activity
GSU0605	magnesium ion binding
GSU0605	phosphomethylpyrimidine kinase activity
GSU0605	thiamine-phosphate diphosphorylase activity
GSU0606	alanine racemase activity
GSU0606	pyridoxal phosphate binding
GSU0607	ATP binding
GSU0607	magnesium ion binding
GSU0607	"selenide, water dikinase activity"
GSU0609	IMP cyclohydrolase activity
GSU0609	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GSU0610	ATP binding
GSU0610	metal ion binding
GSU0610	phosphoribosylamine-glycine ligase activity
GSU0612	electron transfer activity
GSU0612	heme binding
GSU0612	metal ion binding
GSU0615	oxidoreductase activity
GSU0616	oxidoreductase activity
GSU0623	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase activity
GSU0625	DNA-binding transcription factor activity
GSU0626	"GDP-mannose 4,6-dehydratase activity"
GSU0626	NADP+ binding
GSU0627	GDP-L-fucose synthase activity
GSU0627	isomerase activity
GSU0627	NADP+ binding
GSU0628	methyltransferase activity
GSU0628	S-adenosylmethionine-dependent methyltransferase activity
GSU0630	methyltransferase activity
GSU0630	S-adenosylmethionine-dependent methyltransferase activity
GSU0631	glycosyltransferase activity
GSU0632	methyltransferase activity
GSU0632	S-adenosylmethionine-dependent methyltransferase activity
GSU0634	glycosyltransferase activity
GSU0637	nucleic acid binding
GSU0637	S-adenosylmethionine-dependent methyltransferase activity
GSU0642	7S RNA binding
GSU0642	ATP hydrolysis activity
GSU0642	GTP binding
GSU0642	GTPase activity
GSU0643	structural constituent of ribosome
GSU0644	RNA binding
GSU0645	ribosome binding
GSU0646	tRNA (guanine(37)-N1)-methyltransferase activity
GSU0648	structural constituent of ribosome
GSU0649	manganese ion binding
GSU0649	RNA binding
GSU0649	RNA-DNA hybrid ribonuclease activity
GSU0650	nucleic acid binding
GSU0651	N-carbamoylputrescine amidase activity
GSU0652	ATP binding
GSU0652	glutaminase activity
GSU0652	metal ion binding
GSU0652	NAD+ synthase (glutamine-hydrolyzing) activity
GSU0652	NAD+ synthase activity
GSU0653	rRNA (cytosine-2'-O-)-methyltransferase activity
GSU0655	DNA binding
GSU0655	sigma factor activity
GSU0656	L-isoleucine transaminase activity
GSU0656	L-leucine transaminase activity
GSU0656	L-valine transaminase activity
GSU0658	ATP binding
GSU0658	ATP hydrolysis activity
GSU0659	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
GSU0660	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
GSU0660	ATP binding
GSU0661	ATP binding
GSU0661	kinase activity
GSU0661	magnesium ion binding
GSU0661	ribose phosphate diphosphokinase activity
GSU0662	5S rRNA binding
GSU0662	structural constituent of ribosome
GSU0663	aminoacyl-tRNA hydrolase activity
GSU0664	ATP binding
GSU0664	ATP hydrolysis activity
GSU0664	GTP binding
GSU0664	ribosomal large subunit binding
GSU0665	small ribosomal subunit rRNA binding
GSU0665	structural constituent of ribosome
GSU0666	small ribosomal subunit rRNA binding
GSU0666	structural constituent of ribosome
GSU0668	rRNA binding
GSU0668	structural constituent of ribosome
GSU0671	"catalytic activity, acting on RNA"
GSU0671	pseudouridine synthase activity
GSU0671	RNA binding
GSU0672	kinase activity
GSU0674	"4 iron, 4 sulfur cluster binding"
GSU0674	hydroxylamine reductase activity
GSU0674	metal ion binding
GSU0674	peroxidase activity
GSU0677	transmembrane transporter activity
GSU0678	ATP binding
GSU0678	ATP hydrolysis activity
GSU0678	transmembrane transporter activity
GSU0679	methyltransferase activity
GSU0679	S-adenosylmethionine-dependent methyltransferase activity
GSU0681	"4 iron, 4 sulfur cluster binding"
GSU0681	phosphorelay sensor kinase activity
GSU0681	protein dimerization activity
GSU0682	DNA binding
GSU0683	transmembrane signaling receptor activity
GSU0685	catalytic activity
GSU0685	iron-sulfur cluster binding
GSU0685	metal ion binding
GSU0687	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GSU0688	intramolecular transferase activity
GSU0690	S-adenosylmethionine-dependent methyltransferase activity
GSU0691	mRNA binding
GSU0691	translation initiation factor activity
GSU0692	kinase activity
GSU0693	phosphorelay response regulator activity
GSU0693	phosphorelay sensor kinase activity
GSU0693	protein kinase activator activity
GSU0694	hydrolase activity
GSU0695	"hydrolase activity, acting on ester bonds"
GSU0696	oxidoreductase activity
GSU0697	ceramide glucosyltransferase activity
GSU0700	phosphatase activity
GSU0701	oxidoreductase activity
GSU0702	oxidoreductase activity
GSU0705	heme binding
GSU0706	transmembrane transporter activity
GSU0707	transmembrane transporter activity
GSU0708	amino-acid betaine transmembrane transporter activity
GSU0708	antiporter activity
GSU0708	choline transmembrane transporter activity
GSU0711	endonuclease activity
GSU0715	N-acetylmuramoyl-L-alanine amidase activity
GSU0716	cysteine-type endopeptidase activity
GSU0718	histidine phosphotransfer kinase activity
GSU0718	phosphorelay sensor kinase activity
GSU0720	iron ion binding
GSU0720	oxidoreductase activity
GSU0721	DNA binding
GSU0721	sigma factor activity
GSU0726	protein-glutamine glutaminase activity
GSU0728	kinase activity
GSU0728	polyphosphate:AMP phosphotransferase activity
GSU0729	iron-sulfur cluster binding
GSU0729	metal ion binding
GSU0731	metal ion binding
GSU0731	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
GSU0731	UDP-3-O-acyl-N-acetylglucosamine deacetylase activity
GSU0732	DNA binding
GSU0732	RNA polymerase binding
GSU0733	ATP binding
GSU0734	NADH dehydrogenase (ubiquinone) activity
GSU0735	protein kinase activator activity
GSU0736	DNA binding
GSU0736	RNA endonuclease activity
GSU0739	NADH dehydrogenase (ubiquinone) activity
GSU0742	NADH dehydrogenase (ubiquinone) activity
GSU0743	NAD binding
GSU0743	NADH dehydrogenase (ubiquinone) activity
GSU0743	quinone binding
GSU0745	iron-sulfur cluster binding
GSU0750	transmembrane signaling receptor activity
GSU0752	transmembrane transporter activity
GSU0756	transmembrane signaling receptor activity
GSU0761	nucleic acid binding
GSU0763	5'-3' DNA helicase activity
GSU0763	helicase activity
GSU0766	transmembrane signaling receptor activity
GSU0770	DNA binding
GSU0771	acryloyl-CoA reductase (NADP+) activity
GSU0772	oxidoreductase activity
GSU0773	transmembrane transporter activity
GSU0775	phosphorelay sensor kinase activity
GSU0776	ATP binding
GSU0776	ATP hydrolysis activity
GSU0776	sequence-specific DNA binding
GSU0777	"4 iron, 4 sulfur cluster binding"
GSU0777	electron transfer activity
GSU0777	formate dehydrogenase (cytochrome-c-553) activity
GSU0777	formate dehydrogenase (NAD+) activity
GSU0777	molybdenum ion binding
GSU0777	molybdopterin cofactor binding
GSU0778	"4 iron, 4 sulfur cluster binding"
GSU0778	metal ion binding
GSU0780	GTP binding
GSU0780	metal ion binding
GSU0780	molybdenum cofactor guanylyltransferase activity
GSU0780	sulfur carrier activity
GSU0780	sulfurtransferase activity
GSU0781	protein transmembrane transporter activity
GSU0782	"3 iron, 4 sulfur cluster binding"
GSU0782	"4 iron, 4 sulfur cluster binding"
GSU0782	electron transfer activity
GSU0782	ferredoxin hydrogenase activity
GSU0782	metal ion binding
GSU0783	"4 iron, 4 sulfur cluster binding"
GSU0783	metal ion binding
GSU0785	ferredoxin hydrogenase activity
GSU0785	nickel cation binding
GSU0786	endopeptidase activity
GSU0786	enzyme activator activity
GSU0787	protein transmembrane transporter activity
GSU0794	flavin adenine dinucleotide binding
GSU0794	oxidoreductase activity
GSU0795	thiosulfate sulfurtransferase activity
GSU0796	fatty acyl-CoA hydrolase activity
GSU0796	long-chain fatty acyl-CoA binding
GSU0798	ABC-type amino acid transporter activity
GSU0798	ATP binding
GSU0798	ATP hydrolysis activity
GSU0799	transmembrane transporter activity
GSU0800	ligand-gated monoatomic ion channel activity
GSU0802	oxidoreductase activity
GSU0803	ATP binding
GSU0803	metal ion binding
GSU0803	"pyruvate, water dikinase activity"
GSU0804	flavin adenine dinucleotide binding
GSU0804	FMN binding
GSU0804	NAD binding
GSU0804	NAD(P)H dehydrogenase (quinone) activity
GSU0804	NADH dehydrogenase (quinone) activity
GSU0804	NADP binding
GSU0804	NADPH dehydrogenase (quinone) activity
GSU0806	ATP binding
GSU0806	triphosphoribosyl-dephospho-CoA synthase activity
GSU0807	holo-citrate lyase synthase activity
GSU0807	lyase activity
GSU0808	diguanylate cyclase activity
GSU0809	carbonate dehydratase activity
GSU0809	zinc ion binding
GSU0810	porin activity
GSU0811	ATP binding
GSU0811	ATP hydrolysis activity
GSU0811	sequence-specific DNA binding
GSU0812	phosphorelay sensor kinase activity
GSU0814	efflux transmembrane transporter activity
GSU0814	porin activity
GSU0815	phospholipid binding
GSU0815	phospholipid transporter activity
GSU0816	ATP binding
GSU0816	ATP hydrolysis activity
GSU0817	phospholipid transporter activity
GSU0818	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
GSU0819	oxidoreductase activity
GSU0822	phosphorelay response regulator activity
GSU0822	phosphorelay sensor kinase activity
GSU0822	protein kinase activator activity
GSU0823	peptidyl-prolyl cis-trans isomerase activity
GSU0828	efflux transmembrane transporter activity
GSU0828	transmembrane transporter activity
GSU0829	transition metal ion binding
GSU0829	transmembrane transporter activity
GSU0830	monoatomic cation transmembrane transporter activity
GSU0830	xenobiotic transmembrane transporter activity
GSU0831	ATP binding
GSU0831	enzyme regulator activity
GSU0841	ATP binding
GSU0841	ATP hydrolysis activity
GSU0841	DNA binding
GSU0842	ATP binding
GSU0842	phosphorelay sensor kinase activity
GSU0843	flavin adenine dinucleotide binding
GSU0843	oxidoreductase activity
GSU0844	monoatomic cation transmembrane transporter activity
GSU0845	"2 iron, 2 sulfur cluster binding"
GSU0845	metal ion binding
GSU0846	"4 iron, 4 sulfur cluster binding"
GSU0846	aconitate hydratase activity
GSU0846	iron-responsive element binding
GSU0846	metal ion binding
GSU0847	electron transfer activity
GSU0847	iron ion binding
GSU0849	metal ion binding
GSU0850	isomerase activity
GSU0851	serine-type endopeptidase activity
GSU0853	flavin adenine dinucleotide binding
GSU0857	metal ion transmembrane transporter activity
GSU0858	energy transducer activity
GSU0859	UTP:glucose-1-phosphate uridylyltransferase activity
GSU0860	FAD binding
GSU0860	methylenetetrahydrofolate reductase (NAD(P)H) activity
GSU0862	methenyltetrahydrofolate cyclohydrolase activity
GSU0862	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GSU0867	Not Found
GSU0867	demethylmenaquinone methyltransferase activity
GSU0867	methyltransferase activity
GSU0867	S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity
GSU0867	S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity
GSU0867	S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity
GSU0868	adenylate cyclase activity
GSU0868	ATP binding
GSU0868	diadenylate cyclase activity
GSU0870	"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity"
GSU0870	"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity"
GSU0870	8-oxo-dGDP phosphatase activity
GSU0870	8-oxo-GDP phosphatase activity
GSU0871	catalytic activity
GSU0871	cobalamin binding
GSU0871	iron-sulfur cluster binding
GSU0871	metal ion binding
GSU0876	kinase activity
GSU0877	cyclic-di-GMP binding
GSU0880	iron-sulfur cluster binding
GSU0880	metal ion binding
GSU0880	molybdopterin cofactor binding
GSU0880	oxidoreductase activity
GSU0881	phosphorelay response regulator activity
GSU0881	phosphorelay sensor kinase activity
GSU0881	protein kinase activator activity
GSU0883	siderophore uptake transmembrane transporter activity
GSU0884	catalytic activity
GSU0884	iron-sulfur cluster binding
GSU0884	metal ion binding
GSU0886	"4 iron, 4 sulfur cluster binding"
GSU0886	catalytic activity
GSU0886	metal ion binding
GSU0887	ATP hydrolysis activity
GSU0889	acylphosphatase activity
GSU0890	DNA binding
GSU0890	DNA ligase (NAD+) activity
GSU0890	metal ion binding
GSU0891	serine-type endopeptidase activity
GSU0892	3'-5' DNA helicase activity
GSU0892	ATP binding
GSU0892	ATP hydrolysis activity
GSU0892	DNA binding
GSU0893	thioredoxin peroxidase activity
GSU0894	peptidyl-prolyl cis-trans isomerase activity
GSU0895	diguanylate cyclase activity
GSU0896	metallopeptidase activity
GSU0898	3'-5' DNA helicase activity
GSU0898	ATP binding
GSU0898	DNA binding
GSU0898	four-way junction helicase activity
GSU0898	hydrolase activity
GSU0900	S-adenosylmethionine-dependent methyltransferase activity
GSU0902	phosphorelay response regulator activity
GSU0902	transcription cis-regulatory region binding
GSU0906	structural constituent of ribosome
GSU0907	nucleotidyltransferase activity
GSU0907	sulfotransferase activity
GSU0907	thiosulfate sulfurtransferase activity
GSU0907	ubiquitin-like modifier activating enzyme activity
GSU0909	oxidoreductase activity
GSU0910	"4 iron, 4 sulfur cluster binding"
GSU0910	electron transfer activity
GSU0910	metal ion binding
GSU0910	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor"
GSU0911	iron-sulfur cluster binding
GSU0911	metal ion binding
GSU0913	ATP binding
GSU0913	ATP hydrolysis activity
GSU0913	DNA binding
GSU0913	ribosome binding
GSU0914	ATP binding
GSU0914	hydrolase activity
GSU0914	nucleic acid binding
GSU0914	RNA helicase activity
GSU0921	metal ion binding
GSU0921	ribonuclease E activity
GSU0921	RNA binding
GSU0921	RNA nuclease activity
GSU0922	ATP binding
GSU0922	ATP hydrolysis activity
GSU0922	DNA binding
GSU0923	ATP binding
GSU0923	ATP hydrolysis activity
GSU0923	ATP-dependent peptidase activity
GSU0923	sequence-specific DNA binding
GSU0923	serine-type endopeptidase activity
GSU0924	phospholipid transporter activity
GSU0925	ATP binding
GSU0925	ATP hydrolysis activity
GSU0926	phospholipid binding
GSU0926	phospholipid transporter activity
GSU0927	metal ion binding
GSU0927	metalloendopeptidase activity
GSU0928	metal ion binding
GSU0930	thiosulfate sulfurtransferase activity
GSU0932	nucleobase transmembrane transporter activity
GSU0933	GTP binding
GSU0933	magnesium ion binding
GSU0933	uracil phosphoribosyltransferase activity
GSU0935	metal ion binding
GSU0935	transmembrane signaling receptor activity
GSU0937	homocitrate synthase activity
GSU0939	ATP binding
GSU0939	enzyme regulator activity
GSU0940	ammonium transmembrane transporter activity
GSU0941	phosphorelay sensor kinase activity
GSU0942	inositol monophosphate 1-phosphatase activity
GSU0942	inositol monophosphate 3-phosphatase activity
GSU0942	inositol monophosphate 4-phosphatase activity
GSU0942	metal ion binding
GSU0943	cyclic-di-GMP binding
GSU0944	carbon-sulfur lyase activity
GSU0944	pyridoxal phosphate binding
GSU0945	carbon-sulfur lyase activity
GSU0945	pyridoxal phosphate binding
GSU0947	ATP binding
GSU0947	ATP hydrolysis activity
GSU0947	transmembrane transporter activity
GSU0949	transmembrane transporter activity
GSU0950	efflux transmembrane transporter activity
GSU0950	porin activity
GSU0951	DNA-binding transcription factor activity
GSU0951	transcription cis-regulatory region binding
GSU0954	ATP binding
GSU0954	sequence-specific DNA binding
GSU0954	transposase activity
GSU0957	DNA binding
GSU0957	transposase activity
GSU0961	DNA binding
GSU0961	transposase activity
GSU0962	phosphorelay sensor kinase activity
GSU0963	ATP binding
GSU0963	ATP hydrolysis activity
GSU0963	sequence-specific DNA binding
GSU0969	endopeptidase activity
GSU0969	serine-type peptidase activity
GSU0971	hydrolase activity
GSU0971	translation release factor activity
GSU0972	ATP binding
GSU0972	ATP hydrolysis activity
GSU0972	proteasome-activating activity
GSU0976	structural molecule activity
GSU0979	structural molecule activity
GSU0990	nucleotide binding
GSU0991	glycosyltransferase activity
GSU0993	fatty acyl-CoA hydrolase activity
GSU0994	"4 iron, 4 sulfur cluster binding"
GSU0994	fumarate hydratase activity
GSU0994	metal ion binding
GSU0997	"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"
GSU0997	class I DNA-(apurinic or apyrimidinic site) endonuclease activity
GSU0997	damaged DNA binding
GSU0997	DNA-(apurinic or apyrimidinic site) endonuclease activity
GSU0997	zinc ion binding
GSU0998	ATP binding
GSU0998	ATP hydrolysis activity
GSU0998	DNA binding
GSU0998	DNA helicase activity
GSU0999	Not Found
GSU1003	ATP binding
GSU1003	ATP hydrolysis activity
GSU1003	DNA-binding transcription activator activity
GSU1003	transcription cis-regulatory region binding
GSU1004	phosphorelay sensor kinase activity
GSU1005	flavin adenine dinucleotide binding
GSU1005	RNA binding
GSU1005	tRNA dihydrouridine synthase activity
GSU1007	phosphatase activity
GSU1008	enoyl-[acyl-carrier-protein] reductase (NADH) activity
GSU1009	GTP binding
GSU1009	GTPase activity
GSU1009	metal ion binding
GSU1009	ribosome binding
GSU1016	monoatomic cation transmembrane transporter activity
GSU1017	hypoxanthine phosphoribosyltransferase activity
GSU1017	magnesium ion binding
GSU1019	purine nucleobase transmembrane transporter activity
GSU1023	"alpha-1,4-glucan synthase activity"
GSU1023	glycogen (starch) synthase activity
GSU1023	starch synthase activity
GSU1024	electron transfer activity
GSU1024	heme binding
GSU1024	metal ion binding
GSU1027	N-carbamoylputrescine amidase activity
GSU1028	protein-arginine deiminase activity
GSU1029	transmembrane signaling receptor activity
GSU1032	transmembrane signaling receptor activity
GSU1033	transmembrane signaling receptor activity
GSU1034	transmembrane signaling receptor activity
GSU1035	transmembrane signaling receptor activity
GSU1036	phosphorelay response regulator activity
GSU1036	phosphorelay sensor kinase activity
GSU1036	protein kinase activator activity
GSU1038	phosphorelay sensor kinase activity
GSU1039	ATP binding
GSU1039	ATP hydrolysis activity
GSU1039	sequence-specific DNA binding
GSU1041	transmembrane signaling receptor activity
GSU1042	metal ion binding
GSU1043	phosphorelay response regulator activity
GSU1043	phosphorelay sensor kinase activity
GSU1043	protein kinase activator activity
GSU1044	metal ion binding
GSU1044	NAD+ diphosphatase activity
GSU1044	NADH pyrophosphatase activity
GSU1047	S-adenosylmethionine-dependent methyltransferase activity
GSU1049	3'-tRNA processing endoribonuclease activity
GSU1050	phosphorelay response regulator activity
GSU1050	phosphorelay sensor kinase activity
GSU1050	protein kinase activator activity
GSU1051	cyclic-di-GMP binding
GSU1052	acyltransferase activity
GSU1052	hydrolase activity
GSU1058	ATP binding
GSU1058	magnesium ion binding
GSU1058	succinate-CoA ligase (ADP-forming) activity
GSU1058	succinate-CoA ligase (GDP-forming) activity
GSU1059	nucleotide binding
GSU1059	succinate-CoA ligase (ADP-forming) activity
GSU1059	succinate-CoA ligase (GDP-forming) activity
GSU1061	pyridoxal phosphate binding
GSU1061	transaminase activity
GSU1067	[protein-PII] uridylyltransferase activity
GSU1068	acetate transmembrane transporter activity
GSU1070	acetate transmembrane transporter activity
GSU1072	DNA binding
GSU1072	DNA-binding transcription factor activity
GSU1074	DNA binding
GSU1075	crossover junction DNA endonuclease activity
GSU1075	DNA binding
GSU1075	magnesium ion binding
GSU1076	ATP binding
GSU1076	four-way junction DNA binding
GSU1076	four-way junction helicase activity
GSU1077	ATP binding
GSU1077	ATP hydrolysis activity
GSU1077	four-way junction DNA binding
GSU1077	four-way junction helicase activity
GSU1078	ATP hydrolysis activity
GSU1078	DNA replication origin binding
GSU1081	"4 iron, 4 sulfur cluster binding"
GSU1081	epoxyqueuosine reductase activity
GSU1081	metal ion binding
GSU1083	metal ion binding
GSU1088	ATP binding
GSU1088	protein kinase activity
GSU1089	iron-sulfur cluster binding
GSU1089	metal ion binding
GSU1092	acid-amino acid ligase activity
GSU1096	ATP binding
GSU1096	ATP hydrolysis activity
GSU1096	ATPase-coupled phosphate ion transmembrane transporter activity
GSU1096	inorganic phosphate transmembrane transporter activity
GSU1097	inorganic phosphate transmembrane transporter activity
GSU1098	inorganic phosphate transmembrane transporter activity
GSU1099	phosphate ion binding
GSU1101	histidine phosphotransfer kinase activity
GSU1101	phosphorelay sensor kinase activity
GSU1102	phosphorelay response regulator activity
GSU1102	transcription cis-regulatory region binding
GSU1103	medium-chain fatty acid-CoA ligase activity
GSU1106	citrate (Si)-synthase activity
GSU1108	lactaldehyde dehydrogenase activity
GSU1110	ATP binding
GSU1110	metal ion binding
GSU1110	nucleoside diphosphate kinase activity
GSU1111	"4 iron, 4 sulfur cluster binding"
GSU1111	metal ion binding
GSU1111	rRNA (adenine(2503)-C2-)-methyltransferase activity
GSU1111	rRNA binding
GSU1111	tRNA (adenine(37)-C2)-methyltransferase activity
GSU1111	tRNA binding
GSU1112	S-methyl-5-thioadenosine phosphorylase activity
GSU1113	kinase activity
GSU1115	DNA binding
GSU1119	histidine phosphotransfer kinase activity
GSU1119	phosphorelay sensor kinase activity
GSU1122	exonuclease activity
GSU1123	hydrolase activity
GSU1124	FMN binding
GSU1124	metal ion binding
GSU1124	phosphopantothenate--cysteine ligase activity
GSU1124	phosphopantothenoylcysteine decarboxylase activity
GSU1126	"4 iron, 4 sulfur cluster binding"
GSU1126	metal ion binding
GSU1126	uracil DNA N-glycosylase activity
GSU1128	"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity"
GSU1129	ATP binding
GSU1129	ATP hydrolysis activity
GSU1129	sequence-specific DNA binding
GSU1130	ATP binding
GSU1130	ATP hydrolysis activity
GSU1130	DNA binding
GSU1132	ATP hydrolysis activity
GSU1132	GTP binding
GSU1132	GTPase activity
GSU1132	signal recognition particle binding
GSU1136	5-formyltetrahydrofolate cyclo-ligase activity
GSU1136	ATP binding
GSU1136	metal ion binding
GSU1137	RNA binding
GSU1137	RNA endonuclease activity
GSU1138	"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity"
GSU1138	metal ion binding
GSU1139	ATP binding
GSU1139	RNA binding
GSU1139	tyrosine-tRNA ligase activity
GSU1140	transmembrane signaling receptor activity
GSU1141	transmembrane signaling receptor activity
GSU1143	protein-glutamate O-methyltransferase activity
GSU1144	protein-glutamine glutaminase activity
GSU1145	phosphorelay response regulator activity
GSU1145	protein-glutamate methylesterase activity
GSU1145	protein-glutamine glutaminase activity
GSU1148	phosphorelay response regulator activity
GSU1148	phosphorelay sensor kinase activity
GSU1148	protein kinase activator activity
GSU1150	catalytic activity
GSU1150	cobalamin binding
GSU1150	iron-sulfur cluster binding
GSU1150	metal ion binding
GSU1151	deacetylase activity
GSU1151	metal ion binding
GSU1152	transmembrane transporter activity
GSU1153	protein transmembrane transporter activity
GSU1155	electron transfer activity
GSU1156	asparagine-tRNA ligase activity
GSU1156	ATP binding
GSU1156	nucleic acid binding
GSU1158	metal ion binding
GSU1158	superoxide dismutase activity
GSU1159	peptidase activity
GSU1161	transmembrane transporter activity
GSU1162	ATP binding
GSU1162	ATP hydrolysis activity
GSU1162	transmembrane transporter activity
GSU1164	transmembrane transporter activity
GSU1165	metal ion binding
GSU1165	phosphoenolpyruvate-protein phosphotransferase activity
GSU1172	lipid-linked peptidoglycan transporter activity
GSU1173	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GSU1174	nucleoside triphosphate diphosphatase activity
GSU1176	metal ion binding
GSU1176	"oxidoreductase activity, acting on the CH-CH group of donors"
GSU1177	electron transfer activity
GSU1177	flavin adenine dinucleotide binding
GSU1177	succinate dehydrogenase activity
GSU1178	"2 iron, 2 sulfur cluster binding"
GSU1178	"3 iron, 4 sulfur cluster binding"
GSU1178	electron transfer activity
GSU1178	metal ion binding
GSU1180	ATP binding
GSU1180	ATP hydrolysis activity
GSU1180	ATP-dependent peptidase activity
GSU1180	metalloendopeptidase activity
GSU1180	zinc ion binding
GSU1182	4-alpha-glucanotransferase activity
GSU1182	beta-maltose 4-alpha-glucanotransferase activity
GSU1183	pyridoxal phosphate binding
GSU1183	"transferase activity, transferring alkyl or aryl (other than methyl) groups"
GSU1184	[acyl-carrier-protein] phosphodiesterase activity
GSU1185	kinase activity
GSU1188	serine-type endopeptidase activity
GSU1189	metal ion binding
GSU1189	metalloendopeptidase activity
GSU1190	thiosulfate sulfurtransferase activity
GSU1190	tRNA 2-selenouridine synthase activity
GSU1192	cyclic-di-GMP binding
GSU1193	aldehyde-lyase activity
GSU1193	zinc ion binding
GSU1194	amino acid transmembrane transporter activity
GSU1197	RNA binding
GSU1197	S-adenosylmethionine-dependent methyltransferase activity
GSU1197	tRNA methyltransferase activity
GSU1198	NAD binding
GSU1198	phosphoglycerate dehydrogenase activity
GSU1200	mRNA binding
GSU1200	structural constituent of ribosome
GSU1201	DNA binding
GSU1201	RNA polymerase binding
GSU1201	translation elongation factor activity
GSU1202	mannose-1-phosphate guanylyltransferase (GTP) activity
GSU1203	antiporter activity
GSU1203	monoatomic cation transmembrane transporter activity
GSU1204	antiporter activity
GSU1204	monoatomic cation transmembrane transporter activity
GSU1205	FMN binding
GSU1205	NAD(P)H dehydrogenase (quinone) activity
GSU1210	beta-lactamase activity
GSU1211	endonuclease activity
GSU1211	nucleic acid binding
GSU1211	zinc ion binding
GSU1214	O-methyltransferase activity
GSU1214	S-adenosylmethionine-dependent methyltransferase activity
GSU1215	ABC-type transporter activity
GSU1215	ATP binding
GSU1215	ATP hydrolysis activity
GSU1215	ATPase-coupled transmembrane transporter activity
GSU1216	ABC-type transporter activity
GSU1216	ATP binding
GSU1216	ATP hydrolysis activity
GSU1216	ATPase-coupled transmembrane transporter activity
GSU1218	zinc ion binding
GSU1219	ATP binding
GSU1219	glutamate-tRNA ligase activity
GSU1219	tRNA binding
GSU1219	zinc ion binding
GSU1221	ammonium transmembrane transporter activity
GSU1222	histone deacetylase activity
GSU1227	ATP binding
GSU1227	ATP hydrolysis activity
GSU1228	oxidoreductase activity
GSU1233	hydrolase activity
GSU1233	metal ion binding
GSU1234	peptidase activity
GSU1235	oxidoreductase activity
GSU1237	flavin adenine dinucleotide binding
GSU1237	oxidoreductase activity
GSU1238	iron-sulfur cluster binding
GSU1238	metal ion binding
GSU1239	"4 iron, 4 sulfur cluster binding"
GSU1239	glutamate synthase (NADPH) activity
GSU1239	metal ion binding
GSU1240	cyclic-di-GMP binding
GSU1242	pyridoxal phosphate binding
GSU1242	transaminase activity
GSU1243	ATP binding
GSU1243	pantetheine-phosphate adenylyltransferase activity
GSU1244	S-adenosylmethionine-dependent methyltransferase activity
GSU1245	aldehyde-lyase activity
GSU1245	zinc ion binding
GSU1246	dGTPase activity
GSU1249	phosphorelay sensor kinase activity
GSU1250	ATP binding
GSU1250	ATP hydrolysis activity
GSU1250	sequence-specific DNA binding
GSU1251	guanyl-nucleotide exchange factor activity
GSU1252	copper ion binding
GSU1255	metal ion binding
GSU1256	metal ion binding
GSU1257	electron transfer activity
GSU1257	heme binding
GSU1257	metal ion binding
GSU1261	ATP binding
GSU1261	ATP hydrolysis activity
GSU1261	transmembrane transporter activity
GSU1263	RNA binding
GSU1265	phosphorelay sensor kinase activity
GSU1266	GTP binding
GSU1266	GTPase activity
GSU1266	ribosome binding
GSU1266	translation elongation factor activity
GSU1267	serine-type endopeptidase activity
GSU1268	DNA-binding transcription factor activity
GSU1268	transcription cis-regulatory region binding
GSU1269	carbohydrate binding
GSU1270	uracil phosphoribosyltransferase activity
GSU1271	amino acid binding
GSU1271	aspartate carbamoyltransferase activity
GSU1272	allantoinase activity
GSU1272	dihydroorotase activity
GSU1272	zinc ion binding
GSU1273	ATP binding
GSU1273	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GSU1274	catalytic activity
GSU1274	iron-sulfur cluster binding
GSU1274	metal ion binding
GSU1276	ATP binding
GSU1276	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GSU1276	metal ion binding
GSU1277	DNA binding
GSU1277	RNA polymerase binding
GSU1277	translation elongation factor activity
GSU1281	ATP binding
GSU1281	ATP hydrolysis activity
GSU1281	ATPase-coupled transmembrane transporter activity
GSU1285	histidine phosphotransfer kinase activity
